epoch,train_loss,val_loss,val_precision,val_recall,val_f1
1,0.4170045975376578,0.38611147154209224,0.7142857142857143,0.12345679012345678,0.21052631578947367
2,0.3347963136785171,0.33958766349526337,0.9375,0.18518518518518517,0.30927835051546393
3,0.28891578167676923,0.3001019878442897,0.92,0.2839506172839506,0.43396226415094336
4,0.25552966577165265,0.27295606358106744,0.8837209302325582,0.4691358024691358,0.6129032258064515
5,0.22843314733575373,0.2614248325658399,0.9375,0.37037037037037035,0.5309734513274337
6,0.20600912623545703,0.23891951005126155,0.9459459459459459,0.43209876543209874,0.5932203389830508
7,0.18700256785925698,0.21037349832612415,0.94,0.5802469135802469,0.717557251908397
8,0.1709800265291158,0.19717055368562078,0.9245283018867925,0.6049382716049383,0.7313432835820896
9,0.15661756172776223,0.18080346684816273,0.8833333333333333,0.654320987654321,0.75177304964539
10,0.1436813465812627,0.17131506911543912,0.9166666666666666,0.6790123456790124,0.7801418439716312
