epoch,train_loss,val_loss,val_precision,val_recall,val_f1
1,0.3367509461939335,0.25406463643492655,0.8461538461538461,0.5432098765432098,0.6616541353383459
2,0.19528808160958921,0.18707909404711667,0.9361702127659575,0.5432098765432098,0.6875
3,0.13269788208143676,0.12883290417795612,0.9,0.7777777777777778,0.8344370860927153
4,0.08892142573261962,0.10620184635830134,0.958904109589041,0.8641975308641975,0.9090909090909091
5,0.05958857474684277,0.07686565823982967,0.9726027397260274,0.8765432098765432,0.922077922077922
6,0.043079997615560015,0.0830938853431753,0.9710144927536232,0.8271604938271605,0.8933333333333333
7,0.027661536020904726,0.07332902969278092,0.9722222222222222,0.8641975308641975,0.9150326797385621
8,0.025065778049311656,0.07096825412550378,0.9859154929577465,0.8641975308641975,0.9210526315789475
9,0.01742604952202836,0.06319419526918738,0.9866666666666667,0.9135802469135802,0.9487179487179487
10,0.008264209968654219,0.056603116029332025,1.0,0.9259259259259259,0.9615384615384615
