epoch,train_loss,val_loss,val_precision,val_recall,val_f1
1,0.3587553744806963,0.283232124738915,0.7777777777777778,0.6049382716049383,0.6805555555555557
2,0.22638145921861424,0.2130142079536305,0.9375,0.5555555555555556,0.6976744186046512
3,0.16707505450090943,0.19913782647182776,0.7684210526315789,0.9012345679012346,0.8295454545454545
4,0.13546891405301936,0.13457968042686927,0.918918918918919,0.8395061728395061,0.8774193548387097
5,0.09360885552185423,0.10763078061647194,0.92,0.8518518518518519,0.8846153846153846
6,0.07256315976162167,0.09796076861405095,0.984375,0.7777777777777778,0.8689655172413794
7,0.05057663969038164,0.08309842585477718,0.9859154929577465,0.8641975308641975,0.9210526315789475
8,0.045424981448141964,0.0743838139744692,0.958904109589041,0.8641975308641975,0.9090909090909091
9,0.03322760280331268,0.08387660269820413,0.9852941176470589,0.8271604938271605,0.8993288590604026
10,0.022962465641253135,0.06094230001055917,0.9861111111111112,0.8765432098765432,0.9281045751633987
